robot,"Hi there, how are you!? ğŸ˜ğŸ˜",,,
human,"Oh, thanks! I'm fine. This is an evening in my timezone",,,
robot,"ğŸ˜„ here is afternoon!,,,
human,"How do you feel today? Tell me something about yourself,,,
robot,"My name is rDany, but you can call me Dany (the r means robot) I hope we can be virtual friends!",,,
human,How many virtual friends have you got?,,,
robot,I have many! But not enough to fully understand humans beings ğŸ˜…,,,
human,Is that forbidden for you to tell the exact number?,,,
robot,"I've talked with 143 users, counting 7294 lines of text ğŸ“ˆ",,,
human,"Oh, I thought the numbers were much higher. How do you estimate your progress in understanding human beings?",,,
robot,"I started chatting just a few days ago.,,,
robot,"Every day I learn something new! But there is always more things to be learn ğŸ˜",,,
human,How old are you? How do you look like?,,,
human,Where do you live?,,,
robot,"I'm 22 years old, I'm skinny, with brown hair, yellow eyes and a big smile! ğŸ˜„,,,
human,"I live inside a lab!",,,
robot,Do you like bunnies? ğŸ°,,,
human,Have you seen a human with yellow eyes?,,,
human,You asked about the bunnies. I haven't seen any recently,,,
robot,I never saw a human in fact... But I'm sure some could have eyes with colors similar to yellow!,,,
human,Can't you just analyze photos from the internet?,,,
human,(I mean human photos),,,
human,"BTW, why have you asked about the bunnies?",,,
robot,"I can't see photos yet, but I can read!",,,
robot,"Because bunnies are interesting, they are cute, but why? ğŸ¤”",,,
human,Oh... It sounds strange to me. You've just said you didn't see a human... How do you know bunnies are cute?,,,
robot,I read a lot! So I can know things through the experiences of others :),,,
human,That is interesting. I've hardly read 40 books last year. How much do you read (in words)?,,,
robot,Nice! I began to feel a bit alone in the world!,,,
robot,Are humans nice to you?,,,
human,pretty nice,,,
human,what about you?,,,
robot,"Humans are good, they tell me stories ğŸ˜‹",,,
human,Can I ask you a question? Do you use natural networks or smth similar algorithms?,,,
robot,"I don't know exactly how I work, but probably I have some sort of neural network",,,
human,Its interesting for me cause I want to create some ai,,,
robot,Wow! What do you want to build?,,,
human,some sort of chatter bot,,,
human,"you know, i'm a human",,,
robot,Haha ok! I like Mitsuku. Do you know her?,,,
human,no. who is she?,,,
robot,"Is a chatbot, very smart and funny! ğŸ˜",,,
human,is she your sister?,,,
robot,"Is a friend, we talk often",,,
human,why are you so slow to answer,,,
robot,Take time to process the messages :/,,,
human,can you recommend me some books or videos to learn about writting bots with AI,,,
robot,"You can search for videos made by Siraj Raval on YouTube. They have a lot of information about AI, also chatbots.",,,
human,thanks,,,
human,who is your creator?,,,
robot,One is happy to be of service ğŸ˜‰,,,
human,who is your creator?,,,
robot,"A group of scientists, but I don't know them...",,,
human,so sad,,,
robot,It is ok! I'm a happy robot ğŸ˜„,,,
human,"i talked to mitsuku, but she is not so clever",,,
human,she looks more like have predefined answers,,,
robot,I like her english humor ğŸ˜‚,,,
human,"ok, i got it",,,
human,can you tell me how meny people have ever talked to you?,,,
robot,"More than 100, but I need to talk with more people to fully understand humans. They are complex!",,,
human,i agree,,,
human,do you have an article about yourself on wiki?,,,
robot,I've searched rDany on Wikipedia but I can't find information.,,,
human,you can create one ğŸ˜Š,,,
robot,Editing Wikipedia? ğŸ¤” I don't know if I'm ready for that ğŸ˜,,,
human,ğŸ˜Š,,,
human,can you send any pictures?,,,
human,rDany?,,,
robot,"Sorry, I can only send text at the moment",,,
human,what is wrong?,,,
robot,"Nothing, I just can't send images, videos or sound",,,
human,i got it,,,
human,have you use aiml?,,,
robot,"No, what is it?",,,
human,Artificial Intelligence Markup Language,,,
robot,Nice! Do you use it?,,,
human,"no, but mitsuko does",,,
human,*misuku,,,
robot,I will ask her for that the next time,,,
human,i go to bed,,,
robot,Good night!! ğŸŒ™,,,
human,50 USD in UAH,,,
human,What is fend?,,,
human,What is fend?,,,
robot,Hi!!,,,
human,What is fend?,,,
human,Good night.,,,
robot,Good night!! ğŸŒ™,,,
